year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,ffo_yld_reit,beta,realizedvol,lnmcap,market_equity,assets,btm,roe,ocf_at,debt_at,bookleverage,assetgrowth,dolvol,sale_me,ebitda_me,cash_at,net_income,book_equity,ret12
2014,10952,UNII,UNI INVEST U S LTD,348.0,0.03019406233333333,0.008411858685666301,2.2694389572004657e-05,1.6357771880150054,0.011806442959189332,13.130125643850084,504.88611999999995,1350.6505,0.7059849866972009,0.060373314060939404,0.03573252775,0.5494603925,3.9362979169373116,-5.53702169865202e-05,-47008465.833333336,0.2803357033333333,0.02022473625,0.01179655575,11.462499999999999,355.95925000000005,0.2097732461163857
2015,10952,UNII,UNI INVEST U S LTD,360.0,0.027982376,0.0081995538500652,1.81629368090532e-05,1.2535901809273864,0.013570559330809076,13.288611817021824,591.9742783333334,1300.952,0.6658626776419315,0.062481246439411886,0.04021125,0.5121895525,3.6278149223783522,-3.132368289274932e-05,-52075258.0,0.25172084916666665,0.023857374333333334,0.00999878775,17.688,391.88525,-0.007298506794315651
2016,10952,UNII,UNI INVEST U S LTD,372.0,0.028587892916666666,0.0081447374776244,1.780264155710513e-05,1.0002998182767555,0.015710544701105875,13.29435680503515,594.6938416666667,1313.77675,0.6664408291642883,0.06373734647735949,0.04467274425,0.51262554,3.3167582713647654,1.653840047695811e-06,-51130224.0,0.2513571466666667,0.025696721000000002,0.00558462455,20.23925,395.337,-0.050559440672708233
2017,10952,UNII,UNI INVEST U S LTD,384.0,0.03581693733333333,0.008759636978391749,2.361954057644757e-05,0.6206970167128376,0.0149851733586678,13.082457936239392,482.44719249999997,1263.9624999999999,0.8065464747713423,0.036135660817945184,0.04678588,0.5036865125,3.202983964530837,-2.7599844068319092e-05,-70273124.66666667,0.31360070916666666,0.024510251916666666,0.004403199,12.628750000000002,385.93825,-0.034241654516528386
2018,10952,UNII,UNI INVEST U S LTD,396.0,0.0484615965,0.007395958444368075,2.4325117483054398e-05,0.7963831546648362,0.024278742795861726,12.84476115898128,382.2321383333333,1244.8442499999999,1.0975858584641578,0.03608773994800527,0.046355599750000004,0.49618689,3.0536443701828997,-1.8827347897793393e-05,-41915150.666666664,0.3946991816666667,0.025772639208333333,0.005135380425,7.868250000000001,412.08025,-0.45767143112459463
2019,10952,UNII,UNI INVEST U S LTD,408.0,0.06818954258333333,0.009581832724346826,4.3569839306175215e-05,0.9193032886884988,0.023643921845090357,12.491427841967914,267.9788908333333,1224.7905,1.4677437890904337,0.02468412995232545,0.046109738000000004,0.5166267325,3.041972783571976,-7.364855509805925e-06,-21199077.166666668,0.5690094166666667,0.04382633258333333,0.0017254431305,12.79575,388.52524999999997,0.008889990587318541
2020,10952,UNII,UNI INVEST U S LTD,420.0,0.09252258399999999,0.010218696247885,9.42669036262301e-05,1.3060417423645962,0.0543722206506095,11.913202683188764,160.2380468,1231.8781999999999,2.4349358909268317,0.0071202917724829205,0.0425566308,0.546322596,3.227276566675029,-1.979163139826128e-05,-44507523.0,1.03215702,0.0390516038,0.022867592380000003,0.26839999999999975,343.2088,0.6406578049645946
2021,10952,UNII,UNI INVEST U S LTD,432.0,0.01785978733333333,0.0067285052147313005,3.4353896642593e-05,1.6975836148500327,0.025562219001533926,12.36047703065092,239.98448083333332,1168.06025,1.46394402474741,-0.0006530671663777084,0.035909956,0.5287064525,3.550914830176296,-1.9614840453472e-05,-23291893.916666668,0.53023652,0.014773815425000001,0.0030627138499999995,6.269500000000001,336.1205,1.0233536316810325
2022,10952,UNII,UNI INVEST U S LTD,439.0,0.008881187585714285,0.007810807601405614,2.2832305231534964e-05,1.571258461240299,0.017936234073809586,12.809556845721646,366.7626442857143,1026.155142857143,0.7819491653647056,-0.04874061684300172,0.045260212857142865,0.5242223871428572,3.641405130153445,-5.5728513142742496e-05,-148415726.2857143,0.28042654714285714,-0.05920786528571429,0.0037531445285714287,-42.39457142857143,284.7167142857143,0.1605079740790596
2004,12072,PKY,PARKWAY PROPERTIES INC,372.0,0.054657132750000004,0.016159242975526,2.492166007483535e-05,0.2229774407794923,0.011149912963027126,13.143777814559785,512.90936,834.5835000000001,0.5609088465879187,0.1415205402411129,0.066395686,0.457682705,3.010812088835168,-8.705898809085289e-06,-44355986.5,0.29267264583333336,0.036681066416666665,0.0020699811825,39.711999999999996,285.66525,0.28867526584227776
2005,12072,PKY,PARKWAY PROPERTIES INC,384.0,0.0498019045,0.013211609331422349,2.0068151027947586e-05,0.26988590314505695,0.011356162474075525,13.397254717369734,659.8006358333333,1054.192,0.5416283885093723,0.11604503089075485,0.060858165,0.52087746,2.833713505961347,0.00011463298031005084,-88009130.33333333,0.25882847999999997,0.02717131175,0.0014922333624999998,26.81175,355.22175,-0.163083857233442
2006,12072,PKY,PARKWAY PROPERTIES INC,396.0,0.05684282983333333,0.00965242191916505,1.7569743694044272e-05,0.4086858575551773,0.010522110174934316,13.3866993801892,654.7400266666667,1193.39475,0.5994345677145273,0.06856563864294445,0.055584852750000004,0.54209505,2.962021883892376,0.00022802343185337497,-101127948.66666667,0.299819225,0.026355099833333336,0.00715689265,18.51925,388.17699999999996,0.343287171677519
2007,12072,PKY,PARKWAY PROPERTIES INC,408.0,0.054414637583333335,0.009364057563682275,1.8004276683676806e-05,0.5225311769072035,0.016531283208294282,13.507062565192408,740.7325533333333,1482.47275,0.5806785198904781,0.056972397055002795,0.034938431,0.58477531,3.315342233126554,0.0002741124657429417,-122102782.66666667,0.30484047833333333,0.019132269333333334,0.004388855275,19.211499999999997,421.76500000000004,-0.23168748564384378
2008,12072,PKY,PARKWAY PROPERTIES INC,420.0,0.09338106083333332,0.009612984181835526,3.53444489660053e-05,0.8115365673648248,0.03738472307028873,13.029625097561642,481.6272583333334,1643.74425,0.8809302257203565,0.05482757458173702,0.04471661225,0.6168935775,3.8032063599753747,0.00012264928871867092,-107827524.66666667,0.5769255025000001,0.025230110833333333,0.007853251725000001,11.29,377.6235,-0.4772343218016395
